  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029740 99999 201708021800 259   6 *** 722 SCT * * * 31.2 02 ** ** ** ** ** ** ** 8   67   59 1008.0 ***** 1001.8  71  60  0.00 ***** ***** *****  0 
029740 99999 201708021820 230   5 *** 100 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021850 240   8 *** 200 *** * * *  6.2 ** ** ** ** ** ** ** ** *   64   55 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021900 257   9  11 722 SCT * * * 31.2 ** ** ** ** 00 ** ** ** *   64   53 1008.4 ***** 1002.0 *** *** ***** ***** ***** *****  0 
029740 99999 201708021920 240   7 *** 100 *** * * *  6.2 ** ** ** ** ** ** ** ** *   64   52 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021950 230   8 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   52 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022000 237   7 ***  98 BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   60   52 1008.7 ***** 1002.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708022020 220   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   54 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022050 220   8 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   55 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022100 239   9  13  98 BKN * * * 31.2 02 ** ** ** ** ** ** ** 1   61   56 1009.0 ***** 1002.6 *** *** ***** ***** ***** *****  0 
029740 99999 201708022120 230   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   55 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022150 230   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022200 242   8 ***  95 BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   61   57 1008.9 ***** 1002.6 *** *** ***** ***** ***** *****  0 
029740 99999 201708022220 220   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022250 230   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022300 230   6 *** *** BKN * * * 23.3 ** ** ** ** 00 ** ** ** *   59   58 1008.8 ***** 1002.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708022320 300  11 ***  63 *** * * *  6.2 ** ** ** ** ** ** ** ** *   61   57 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708022350 260   6 ***  18 *** * * *  6.2 ** ** ** ** ** ** ** ** *   61   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708030000 258   4 ***  18 BKN * * * 31.2 03 ** ** ** ** ** ** ** 1   60   58 1009.0 ***** 1002.6 *** *** ***** ***** ***** *****  0 
029740 99999 201708030020 230   5 ***  65 *** * * *  6.2 ** ** ** ** ** ** ** ** *   59   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708030050 180   5 ***  65 *** * * *  6.2 ** ** ** ** ** ** ** ** *   59   55 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708030100 227   5 *** *** BKN * * * 31.2 ** ** ** ** 23 ** ** ** *   58   56 1008.7 ***** 1002.3 *** *** ***** ***** ***** *****  0 
029740 99999 201708030120 220   6 *** 200 *** * * *  6.2 13 ** ** ** ** ** ** ** *   57   55 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708030150 200   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708030200 221   6 *** 722 SCT * * *  8.2 ** ** ** ** 00 ** ** ** *   57   56 1008.6 ***** 1002.2 *** *** ***** ***** ***** *****  0 
029740 99999 201708030220 220   6 *** *** *** * * *  6.2 12 ** ** ** ** ** ** ** *   57   57 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708030250 230   8 ***   3 *** * * *  2.5 10 ** ** ** ** ** ** ** *   59   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
